Feature	Gain	Cover	Frequency
ccuenta_debitos_automaticos_delta1	0.000288776798011973	0.00184650335738345	0.00046189376443418
mtarjeta_master_consumo_lag1	0.000284406620836483	0.00126954159172686	0.000577367205542725
ccuenta_debitos_automaticos_lag1	0.000281788682110053	0.00151671086478879	0.00092378752886836
Master_fultimo_cierre	0.000276195433770943	0.000261023542432734	0.000577367205542725
ctarjeta_debito_lag1	0.000269100136365429	0.000230783221346306	0.000577367205542725
matm_delta1	0.000266877948618129	0.000455186252189231	0.00069284064665127
Visa_mconsumosdolares_lag1	0.000265501472697068	0.00064590643091772	0.00115473441108545
cplazo_fijo_lag1	0.00026251713125752	0.000716048928686077	0.00023094688221709
tcallcenter_lag1	0.000257928592945346	0.000624669652519927	0.000346420323325635
Visa_mpagado	0.000244174420641596	0.000607986617538045	0.00069284064665127
cprestamos_personales_lag1	0.000220265438420644	0.000309236300848702	0.00023094688221709
ccaja_ahorro_lag1	0.000210709188900563	0.000733150215101267	0.000346420323325635
Master_mlimitecompra_delta1	0.000206934295450966	0.000573781569847111	0.000577367205542725
active_quarter_lag1	0.000205439764801898	0.000144366040587169	0.00023094688221709
Visa_fultimo_cierre_lag1	0.000202816499330401	0.000158668259717905	0.000346420323325635
ctarjeta_visa_debitos_automaticos	0.000201433262998785	0.000723634376278343	0.00069284064665127
cpagomiscuentas_lag1	0.00019541834774425	0.00082633613947047	0.000808314087759815
Master_msaldototal_delta1	0.000195027924481868	0.000215411862457051	0.000346420323325635
Master_mpagominimo_lag1	0.000179920956364953	0.0002857201758824	0.000577367205542725
mextraccion_autoservicio_delta1	0.00017317389588877	0.00075919317269129	0.00069284064665127
Master_Fvencimiento_delta1	0.000152004916097713	0.000128173027994608	0.00023094688221709
mplazo_fijo_dolares_delta1	0.000146260810424104	0.000112945211017376	0.00023094688221709
Visa_mfinanciacion_limite_delta1	0.00014156177824898	0.000619608562690829	0.000577367205542725
cpagomiscuentas_delta1	0.000133768914142805	0.000921195069572909	0.000346420323325635
ctransferencias_recibidas_delta1	0.000132016712518273	0.000419976411114133	0.000577367205542725
catm_trx	0.000118520372908227	0.00024288281458565	0.00023094688221709
Visa_msaldodolares_lag1	0.0001044920896288	0.000438550239557839	0.000346420323325635
Master_mconsumototal_delta1	0.000104076921720774	0.000185174016231175	0.00046189376443418
Master_mconsumosdolares_delta1	0.000104043505544743	8.73180300001111e-05	0.00023094688221709
tcuentas_lag1	0.000102248072362569	0.000670570891180208	0.00023094688221709
Visa_fultimo_cierre	0.000102187611821074	8.1779292084453e-05	0.00023094688221709
ccajas_extracciones_delta1	0.000100999183831252	0.000819510474067706	0.00023094688221709
Master_mpagosdolares	9.90521753999368e-05	0.000183067909901316	0.00069284064665127
ccajas_extracciones_lag1	9.77226908968922e-05	0.000414492120130622	0.00023094688221709
Master_mconsumototal	9.20780377319874e-05	0.000209071269722504	0.00046189376443418
ctarjeta_master_transacciones_lag1	9.04604957918006e-05	0.000249097189432039	0.000346420323325635
catm_trx_lag1	8.91467270681016e-05	0.000333019710754633	0.00023094688221709
Master_mpagospesos_delta1	8.57511449742573e-05	0.000651012068236756	0.000808314087759815
Master_mconsumosdolares_lag1	7.61885859991972e-05	8.20812250718124e-05	0.00023094688221709
catm_trx_delta1	7.3487945429953e-05	0.000216498326239434	0.00023094688221709
Master_mconsumototal_lag1	6.58166488086796e-05	0.000131635357907032	0.000346420323325635
Visa_madelantodolares_lag1	6.33091283765971e-05	3.00596562661229e-05	0.000115473441108545
Visa_msaldodolares_delta1	5.85651276374196e-05	2.36918400655026e-05	0.000115473441108545
cpagomiscuentas	5.82794189916018e-05	0.000134850201764244	0.00046189376443418
matm_lag1	5.34788922976045e-05	0.000256202514077192	0.00046189376443418
Visa_msaldodolares	5.20418406921309e-05	0.000207247297495587	0.000115473441108545
ccajas_extracciones	4.67139570833548e-05	0.00051584508432184	0.00023094688221709
Visa_mpagosdolares_lag1	4.54926187112518e-05	4.97199484922122e-05	0.00023094688221709
Visa_status_lag1	4.40783085814815e-05	0.000278812840081416	0.000115473441108545
cseguro_vida_lag1	4.39355457321913e-05	0.000331208112830477	0.000115473441108545
Master_mpagominimo_delta1	3.731761866978e-05	3.10693993713904e-05	0.000115473441108545
Master_msaldodolares_lag1	3.65511445126548e-05	0.00011055202086347	0.000115473441108545
cseguro_accidentes_personales_lag1	3.52667423847874e-05	0.000163652628869887	0.000115473441108545
ccajas_consultas_lag1	2.88268920419202e-05	4.41094396205425e-05	0.000115473441108545
thomebanking_delta1	2.85925923699427e-05	0.000191742296136517	0.000115473441108545
matm_other	2.063189599586e-05	0.000103045768808872	0.000115473441108545
Visa_mpagosdolares_delta1	1.85586155325924e-05	0.000131895218265005	0.00023094688221709
Master_cconsumos_delta1	1.64851241149607e-05	9.08150079602652e-05	0.00023094688221709
Master_mconsumospesos_lag1	1.51762620957282e-05	0.000178279054732952	0.00046189376443418
Master_mpagosdolares_lag1	9.57747603282155e-06	3.18217569792367e-05	0.000115473441108545
ctarjeta_master_transacciones_delta1	6.68934287389518e-06	6.192843559585e-05	0.000115473441108545
Visa_mpagado_lag1	6.1199679528873e-06	0.00015903453907962	0.000115473441108545
Visa_mconsumosdolares_delta1	5.41027163669873e-06	0.000387147385890182	0.000577367205542725
cforex_sell_lag1	4.00922465265742e-06	0.000135048190608414	0.000115473441108545
cforex	3.74105394449644e-06	0.000133667218420328	0.000115473441108545
matm_other_delta1	1.94090587922755e-06	5.82978151658811e-05	0.000115473441108545
catm_trx_other_delta1	1.75110536740122e-06	0.000110653490146108	0.000115473441108545
mforex_sell_lag1	1.07458741601152e-06	0.000136161877856871	0.000115473441108545
mforex_sell	6.16934215401225e-07	0.000151174381966067	0.000115473441108545
Visa_madelantopesos	3.16341884682897e-10	9.2676103095464e-05	0.000115473441108545
Visa_madelantodolares	2.09842929814814e-10	7.1117592825894e-05	0.000115473441108545
Visa_cadelantosefectivo	2.02374644648383e-10	0.000133164821728246	0.000115473441108545
Master_madelantopesos_delta1	2.22346963239857e-12	2.35185998268538e-05	0.000115473441108545
Master_mpagosdolares_delta1	6.10538173020083e-13	2.28800858044053e-05	0.000115473441108545
Master_fultimo_cierre_lag1	1.8514315475651e-13	4.03526013024152e-05	0.000115473441108545
Master_mconsumosdolares	3.42361423997472e-14	2.53970189859175e-05	0.000115473441108545
